대여소 그룹,대여소 명,반납 일자 / 월,반납 건수
그룹명 없음,대여소명 없음,2015-09-19,17
마포구,101. (구)합정동 주민센터,2015-09-19,8
마포구,102. 망원역 1번출구 앞,2015-09-19,14
마포구,103. 망원역 2번출구 앞,2015-09-19,19
마포구,104. 합정역 1번출구 앞,2015-09-19,10
마포구,105. 합정역 5번출구 앞,2015-09-19,13
마포구,106. 합정역 7번출구 앞,2015-09-19,16
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-19,2
마포구,108. 서교동 사거리,2015-09-19,8
마포구,111. 상수역 2번출구 앞,2015-09-19,25
마포구,112. 극동방송국 앞,2015-09-19,10
마포구,113. 홍대입구역 2번출구 앞,2015-09-19,31
마포구,114. 홍대입구역 8번출구 앞,2015-09-19,7
마포구,118. 광흥창역 2번출구 앞,2015-09-19,6
마포구,119. 서강나루 공원,2015-09-19,14
마포구,120. 신수동 사거리,2015-09-19,2
마포구,121. 마포소방서 앞,2015-09-19,8
마포구,122. 신성기사식당 앞,2015-09-19,6
마포구,124. 서강대 정문 건너편,2015-09-19,14
마포구,125. 서강대 남문 옆,2015-09-19,18
마포구,126. 서강대 후문 옆,2015-09-19,20
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-19,13
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-19,2
마포구,136. 대흥동 주민센터,2015-09-19,2
서대문구,115. 사루비아 빌딩 앞,2015-09-19,8
서대문구,116. 일진아이윌아파트 옆,2015-09-19,11
서대문구,117. 홍은사거리,2015-09-19,2
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-19,3
서대문구,131. 증산2교,2015-09-19,7
서대문구,132. 창천문화공원,2015-09-19,11
서대문구,133. 해담는다리,2015-09-19,4
서대문구,135. 명물길 원형무대 앞,2015-09-19,4
서대문구,137. NH농협 신촌지점 앞,2015-09-19,14
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-19,8
서대문구,139. 연세대 정문 건너편,2015-09-19,2
서대문구,140. 이화여대 후문,2015-09-19,8
서대문구,141. 연대 대운동장 옆,2015-09-19,13
영등포구,200. 국회의원회관,2015-09-19,2
영등포구,201. 진미파라곤 앞,2015-09-19,19
영등포구,202. 국민일보 앞,2015-09-19,38
영등포구,203. 국회의사당역 3번출구 옆,2015-09-19,5
영등포구,204. 국회의사당역 5번출구 옆,2015-09-19,2
영등포구,205. 산업은행 앞,2015-09-19,11
영등포구,206. KBS 앞,2015-09-19,8
영등포구,208. LG 트윈타워 앞,2015-09-19,5
영등포구,210. IFC몰,2015-09-19,37
영등포구,211. 여의도역 4번출구 옆,2015-09-19,26
영등포구,212. 여의도역 1번출구 옆,2015-09-19,17
영등포구,213. KT앞,2015-09-19,10
영등포구,214. 금융감독원 앞,2015-09-19,6
영등포구,215. 여의도고교 앞,2015-09-19,44
영등포구,216. 삼부아파트1동 앞,2015-09-19,3
영등포구,217. NH농협은행 앞,2015-09-19,6
영등포구,218. 증권거래소 앞,2015-09-19,6
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-19,13
영등포구,220. 미성아파트 A동 앞,2015-09-19,8
영등포구,221. 여의도초교 앞,2015-09-19,19
영등포구,222. 시범아파트버스정류장 옆,2015-09-19,7
영등포구,223. 진주아파트상가 앞,2015-09-19,12
영등포구,224. 롯데캐슬 앞,2015-09-19,21
영등포구,225. 앙카라공원 앞,2015-09-19,13
영등포구,226. 샛강역 1번출구 앞,2015-09-19,6
그룹명 없음,대여소명 없음,2015-09-20,13
마포구,101. (구)합정동 주민센터,2015-09-20,12
마포구,102. 망원역 1번출구 앞,2015-09-20,25
마포구,103. 망원역 2번출구 앞,2015-09-20,25
마포구,104. 합정역 1번출구 앞,2015-09-20,19
마포구,105. 합정역 5번출구 앞,2015-09-20,21
마포구,106. 합정역 7번출구 앞,2015-09-20,27
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-20,5
마포구,108. 서교동 사거리,2015-09-20,8
마포구,111. 상수역 2번출구 앞,2015-09-20,37
마포구,112. 극동방송국 앞,2015-09-20,12
마포구,113. 홍대입구역 2번출구 앞,2015-09-20,37
마포구,114. 홍대입구역 8번출구 앞,2015-09-20,24
마포구,118. 광흥창역 2번출구 앞,2015-09-20,18
마포구,119. 서강나루 공원,2015-09-20,20
마포구,120. 신수동 사거리,2015-09-20,9
마포구,121. 마포소방서 앞,2015-09-20,12
마포구,122. 신성기사식당 앞,2015-09-20,14
마포구,124. 서강대 정문 건너편,2015-09-20,20
마포구,125. 서강대 남문 옆,2015-09-20,29
마포구,126. 서강대 후문 옆,2015-09-20,27
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-20,14
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-20,8
마포구,136. 대흥동 주민센터,2015-09-20,2
서대문구,115. 사루비아 빌딩 앞,2015-09-20,5
서대문구,116. 일진아이윌아파트 옆,2015-09-20,12
서대문구,117. 홍은사거리,2015-09-20,2
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-20,20
서대문구,131. 증산2교,2015-09-20,25
서대문구,132. 창천문화공원,2015-09-20,15
서대문구,133. 해담는다리,2015-09-20,5
서대문구,135. 명물길 원형무대 앞,2015-09-20,19
서대문구,137. NH농협 신촌지점 앞,2015-09-20,5
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-20,8
서대문구,139. 연세대 정문 건너편,2015-09-20,8
서대문구,140. 이화여대 후문,2015-09-20,11
서대문구,141. 연대 대운동장 옆,2015-09-20,11
영등포구,200. 국회의원회관,2015-09-20,1
영등포구,201. 진미파라곤 앞,2015-09-20,19
영등포구,202. 국민일보 앞,2015-09-20,24
영등포구,203. 국회의사당역 3번출구 옆,2015-09-20,13
영등포구,204. 국회의사당역 5번출구 옆,2015-09-20,2
영등포구,205. 산업은행 앞,2015-09-20,15
영등포구,206. KBS 앞,2015-09-20,6
영등포구,208. LG 트윈타워 앞,2015-09-20,18
영등포구,209. 유진투자증권빌딩 앞,2015-09-20,9
영등포구,210. IFC몰,2015-09-20,33
영등포구,211. 여의도역 4번출구 옆,2015-09-20,27
영등포구,212. 여의도역 1번출구 옆,2015-09-20,9
영등포구,213. KT앞,2015-09-20,13
영등포구,214. 금융감독원 앞,2015-09-20,5
영등포구,215. 여의도고교 앞,2015-09-20,20
영등포구,216. 삼부아파트1동 앞,2015-09-20,4
영등포구,217. NH농협은행 앞,2015-09-20,6
영등포구,218. 증권거래소 앞,2015-09-20,7
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-20,7
영등포구,220. 미성아파트 A동 앞,2015-09-20,6
영등포구,221. 여의도초교 앞,2015-09-20,22
영등포구,222. 시범아파트버스정류장 옆,2015-09-20,9
영등포구,223. 진주아파트상가 앞,2015-09-20,10
영등포구,224. 롯데캐슬 앞,2015-09-20,11
영등포구,225. 앙카라공원 앞,2015-09-20,11
영등포구,226. 샛강역 1번출구 앞,2015-09-20,16
그룹명 없음,대여소명 없음,2015-09-21,6
그룹명 없음,대여소명 없음,2015-09-21,3
마포구,101. (구)합정동 주민센터,2015-09-21,5
마포구,102. 망원역 1번출구 앞,2015-09-21,10
마포구,103. 망원역 2번출구 앞,2015-09-21,11
마포구,104. 합정역 1번출구 앞,2015-09-21,5
마포구,105. 합정역 5번출구 앞,2015-09-21,14
마포구,106. 합정역 7번출구 앞,2015-09-21,20
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-21,12
마포구,108. 서교동 사거리,2015-09-21,11
마포구,111. 상수역 2번출구 앞,2015-09-21,21
마포구,112. 극동방송국 앞,2015-09-21,10
마포구,113. 홍대입구역 2번출구 앞,2015-09-21,16
마포구,114. 홍대입구역 8번출구 앞,2015-09-21,19
마포구,118. 광흥창역 2번출구 앞,2015-09-21,11
마포구,119. 서강나루 공원,2015-09-21,18
마포구,120. 신수동 사거리,2015-09-21,8
마포구,121. 마포소방서 앞,2015-09-21,4
마포구,122. 신성기사식당 앞,2015-09-21,4
마포구,124. 서강대 정문 건너편,2015-09-21,16
마포구,125. 서강대 남문 옆,2015-09-21,12
마포구,126. 서강대 후문 옆,2015-09-21,17
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-21,12
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-21,6
마포구,136. 대흥동 주민센터,2015-09-21,7
서대문구,115. 사루비아 빌딩 앞,2015-09-21,8
서대문구,116. 일진아이윌아파트 옆,2015-09-21,8
서대문구,117. 홍은사거리,2015-09-21,2
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-21,9
서대문구,131. 증산2교,2015-09-21,16
서대문구,132. 창천문화공원,2015-09-21,10
서대문구,133. 해담는다리,2015-09-21,3
서대문구,135. 명물길 원형무대 앞,2015-09-21,10
서대문구,137. NH농협 신촌지점 앞,2015-09-21,1
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-21,7
서대문구,139. 연세대 정문 건너편,2015-09-21,7
서대문구,140. 이화여대 후문,2015-09-21,13
서대문구,141. 연대 대운동장 옆,2015-09-21,13
영등포구,201. 진미파라곤 앞,2015-09-21,10
영등포구,202. 국민일보 앞,2015-09-21,7
영등포구,203. 국회의사당역 3번출구 옆,2015-09-21,3
영등포구,204. 국회의사당역 5번출구 옆,2015-09-21,3
영등포구,205. 산업은행 앞,2015-09-21,6
영등포구,206. KBS 앞,2015-09-21,9
영등포구,208. LG 트윈타워 앞,2015-09-21,9
영등포구,209. 유진투자증권빌딩 앞,2015-09-21,4
영등포구,210. IFC몰,2015-09-21,14
영등포구,211. 여의도역 4번출구 옆,2015-09-21,14
영등포구,212. 여의도역 1번출구 옆,2015-09-21,3
영등포구,213. KT앞,2015-09-21,7
영등포구,214. 금융감독원 앞,2015-09-21,2
영등포구,215. 여의도고교 앞,2015-09-21,14
영등포구,216. 삼부아파트1동 앞,2015-09-21,6
영등포구,217. NH농협은행 앞,2015-09-21,3
영등포구,218. 증권거래소 앞,2015-09-21,2
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-21,0
영등포구,220. 미성아파트 A동 앞,2015-09-21,2
영등포구,221. 여의도초교 앞,2015-09-21,5
영등포구,222. 시범아파트버스정류장 옆,2015-09-21,5
영등포구,223. 진주아파트상가 앞,2015-09-21,12
영등포구,224. 롯데캐슬 앞,2015-09-21,11
영등포구,225. 앙카라공원 앞,2015-09-21,8
영등포구,226. 샛강역 1번출구 앞,2015-09-21,9
그룹명 없음,대여소명 없음,2015-09-22,14
그룹명 없음,대여소명 없음,2015-09-22,1
마포구,101. (구)합정동 주민센터,2015-09-22,2
마포구,102. 망원역 1번출구 앞,2015-09-22,11
마포구,103. 망원역 2번출구 앞,2015-09-22,13
마포구,104. 합정역 1번출구 앞,2015-09-22,15
마포구,105. 합정역 5번출구 앞,2015-09-22,16
마포구,106. 합정역 7번출구 앞,2015-09-22,19
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-22,14
마포구,108. 서교동 사거리,2015-09-22,6
마포구,111. 상수역 2번출구 앞,2015-09-22,28
마포구,112. 극동방송국 앞,2015-09-22,18
마포구,113. 홍대입구역 2번출구 앞,2015-09-22,28
마포구,114. 홍대입구역 8번출구 앞,2015-09-22,25
마포구,118. 광흥창역 2번출구 앞,2015-09-22,17
마포구,119. 서강나루 공원,2015-09-22,11
마포구,120. 신수동 사거리,2015-09-22,9
마포구,121. 마포소방서 앞,2015-09-22,5
마포구,122. 신성기사식당 앞,2015-09-22,10
마포구,124. 서강대 정문 건너편,2015-09-22,22
마포구,125. 서강대 남문 옆,2015-09-22,24
마포구,126. 서강대 후문 옆,2015-09-22,29
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-22,16
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-22,4
마포구,136. 대흥동 주민센터,2015-09-22,3
서대문구,115. 사루비아 빌딩 앞,2015-09-22,4
서대문구,116. 일진아이윌아파트 옆,2015-09-22,11
서대문구,117. 홍은사거리,2015-09-22,2
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-22,10
서대문구,131. 증산2교,2015-09-22,19
서대문구,132. 창천문화공원,2015-09-22,18
서대문구,133. 해담는다리,2015-09-22,2
서대문구,135. 명물길 원형무대 앞,2015-09-22,15
서대문구,137. NH농협 신촌지점 앞,2015-09-22,5
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-22,21
서대문구,139. 연세대 정문 건너편,2015-09-22,3
서대문구,140. 이화여대 후문,2015-09-22,14
서대문구,141. 연대 대운동장 옆,2015-09-22,21
영등포구,200. 국회의원회관,2015-09-22,0
영등포구,201. 진미파라곤 앞,2015-09-22,16
영등포구,202. 국민일보 앞,2015-09-22,14
영등포구,203. 국회의사당역 3번출구 옆,2015-09-22,3
영등포구,204. 국회의사당역 5번출구 옆,2015-09-22,2
영등포구,205. 산업은행 앞,2015-09-22,19
영등포구,206. KBS 앞,2015-09-22,5
영등포구,208. LG 트윈타워 앞,2015-09-22,19
영등포구,209. 유진투자증권빌딩 앞,2015-09-22,16
영등포구,210. IFC몰,2015-09-22,20
영등포구,211. 여의도역 4번출구 옆,2015-09-22,15
영등포구,212. 여의도역 1번출구 옆,2015-09-22,7
영등포구,213. KT앞,2015-09-22,17
영등포구,214. 금융감독원 앞,2015-09-22,13
영등포구,215. 여의도고교 앞,2015-09-22,26
영등포구,216. 삼부아파트1동 앞,2015-09-22,8
영등포구,217. NH농협은행 앞,2015-09-22,0
영등포구,218. 증권거래소 앞,2015-09-22,5
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-22,7
영등포구,220. 미성아파트 A동 앞,2015-09-22,6
영등포구,221. 여의도초교 앞,2015-09-22,13
영등포구,222. 시범아파트버스정류장 옆,2015-09-22,11
영등포구,223. 진주아파트상가 앞,2015-09-22,21
영등포구,224. 롯데캐슬 앞,2015-09-22,12
영등포구,225. 앙카라공원 앞,2015-09-22,11
영등포구,226. 샛강역 1번출구 앞,2015-09-22,5
그룹명 없음,대여소명 없음,2015-09-23,9
마포구,101. (구)합정동 주민센터,2015-09-23,5
마포구,102. 망원역 1번출구 앞,2015-09-23,17
마포구,103. 망원역 2번출구 앞,2015-09-23,12
마포구,104. 합정역 1번출구 앞,2015-09-23,6
마포구,105. 합정역 5번출구 앞,2015-09-23,16
마포구,106. 합정역 7번출구 앞,2015-09-23,20
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-23,12
마포구,108. 서교동 사거리,2015-09-23,3
마포구,111. 상수역 2번출구 앞,2015-09-23,20
마포구,112. 극동방송국 앞,2015-09-23,14
마포구,113. 홍대입구역 2번출구 앞,2015-09-23,23
마포구,114. 홍대입구역 8번출구 앞,2015-09-23,13
마포구,118. 광흥창역 2번출구 앞,2015-09-23,10
마포구,119. 서강나루 공원,2015-09-23,12
마포구,120. 신수동 사거리,2015-09-23,7
마포구,121. 마포소방서 앞,2015-09-23,6
마포구,122. 신성기사식당 앞,2015-09-23,9
마포구,124. 서강대 정문 건너편,2015-09-23,30
마포구,125. 서강대 남문 옆,2015-09-23,20
마포구,126. 서강대 후문 옆,2015-09-23,27
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-23,10
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-23,12
서대문구,115. 사루비아 빌딩 앞,2015-09-23,11
서대문구,116. 일진아이윌아파트 옆,2015-09-23,10
서대문구,117. 홍은사거리,2015-09-23,3
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-23,10
서대문구,131. 증산2교,2015-09-23,25
서대문구,132. 창천문화공원,2015-09-23,28
서대문구,133. 해담는다리,2015-09-23,4
서대문구,135. 명물길 원형무대 앞,2015-09-23,11
서대문구,137. NH농협 신촌지점 앞,2015-09-23,6
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-23,15
서대문구,139. 연세대 정문 건너편,2015-09-23,9
서대문구,140. 이화여대 후문,2015-09-23,10
서대문구,141. 연대 대운동장 옆,2015-09-23,25
영등포구,200. 국회의원회관,2015-09-23,12
영등포구,201. 진미파라곤 앞,2015-09-23,24
영등포구,202. 국민일보 앞,2015-09-23,12
영등포구,203. 국회의사당역 3번출구 옆,2015-09-23,8
영등포구,204. 국회의사당역 5번출구 옆,2015-09-23,5
영등포구,205. 산업은행 앞,2015-09-23,10
영등포구,206. KBS 앞,2015-09-23,3
영등포구,208. LG 트윈타워 앞,2015-09-23,14
영등포구,209. 유진투자증권빌딩 앞,2015-09-23,12
영등포구,210. IFC몰,2015-09-23,18
영등포구,211. 여의도역 4번출구 옆,2015-09-23,13
영등포구,212. 여의도역 1번출구 옆,2015-09-23,10
영등포구,213. KT앞,2015-09-23,27
영등포구,214. 금융감독원 앞,2015-09-23,2
영등포구,215. 여의도고교 앞,2015-09-23,25
영등포구,216. 삼부아파트1동 앞,2015-09-23,10
영등포구,217. NH농협은행 앞,2015-09-23,6
영등포구,218. 증권거래소 앞,2015-09-23,9
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-23,7
영등포구,220. 미성아파트 A동 앞,2015-09-23,5
영등포구,221. 여의도초교 앞,2015-09-23,22
영등포구,222. 시범아파트버스정류장 옆,2015-09-23,19
영등포구,223. 진주아파트상가 앞,2015-09-23,13
영등포구,224. 롯데캐슬 앞,2015-09-23,21
영등포구,225. 앙카라공원 앞,2015-09-23,10
영등포구,226. 샛강역 1번출구 앞,2015-09-23,7
그룹명 없음,대여소명 없음,2015-09-24,13
마포구,101. (구)합정동 주민센터,2015-09-24,3
마포구,102. 망원역 1번출구 앞,2015-09-24,14
마포구,103. 망원역 2번출구 앞,2015-09-24,10
마포구,104. 합정역 1번출구 앞,2015-09-24,16
마포구,105. 합정역 5번출구 앞,2015-09-24,15
마포구,106. 합정역 7번출구 앞,2015-09-24,19
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-24,6
마포구,108. 서교동 사거리,2015-09-24,7
마포구,111. 상수역 2번출구 앞,2015-09-24,17
마포구,112. 극동방송국 앞,2015-09-24,37
마포구,113. 홍대입구역 2번출구 앞,2015-09-24,34
마포구,114. 홍대입구역 8번출구 앞,2015-09-24,14
마포구,118. 광흥창역 2번출구 앞,2015-09-24,19
마포구,119. 서강나루 공원,2015-09-24,23
마포구,120. 신수동 사거리,2015-09-24,11
마포구,121. 마포소방서 앞,2015-09-24,8
마포구,122. 신성기사식당 앞,2015-09-24,12
마포구,124. 서강대 정문 건너편,2015-09-24,28
마포구,125. 서강대 남문 옆,2015-09-24,21
마포구,126. 서강대 후문 옆,2015-09-24,27
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-24,25
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-24,14
마포구,136. 대흥동 주민센터,2015-09-24,4
서대문구,115. 사루비아 빌딩 앞,2015-09-24,7
서대문구,116. 일진아이윌아파트 옆,2015-09-24,11
서대문구,117. 홍은사거리,2015-09-24,3
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-24,8
서대문구,131. 증산2교,2015-09-24,11
서대문구,132. 창천문화공원,2015-09-24,32
서대문구,133. 해담는다리,2015-09-24,4
서대문구,135. 명물길 원형무대 앞,2015-09-24,14
서대문구,137. NH농협 신촌지점 앞,2015-09-24,7
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-24,10
서대문구,139. 연세대 정문 건너편,2015-09-24,2
서대문구,140. 이화여대 후문,2015-09-24,11
서대문구,141. 연대 대운동장 옆,2015-09-24,25
영등포구,200. 국회의원회관,2015-09-24,1
영등포구,201. 진미파라곤 앞,2015-09-24,29
영등포구,202. 국민일보 앞,2015-09-24,31
영등포구,203. 국회의사당역 3번출구 옆,2015-09-24,3
영등포구,204. 국회의사당역 5번출구 옆,2015-09-24,5
영등포구,205. 산업은행 앞,2015-09-24,8
영등포구,206. KBS 앞,2015-09-24,5
영등포구,208. LG 트윈타워 앞,2015-09-24,7
영등포구,209. 유진투자증권빌딩 앞,2015-09-24,15
영등포구,210. IFC몰,2015-09-24,34
영등포구,211. 여의도역 4번출구 옆,2015-09-24,21
영등포구,212. 여의도역 1번출구 옆,2015-09-24,11
영등포구,213. KT앞,2015-09-24,33
영등포구,214. 금융감독원 앞,2015-09-24,9
영등포구,215. 여의도고교 앞,2015-09-24,12
영등포구,216. 삼부아파트1동 앞,2015-09-24,17
영등포구,217. NH농협은행 앞,2015-09-24,12
영등포구,218. 증권거래소 앞,2015-09-24,10
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-24,3
영등포구,220. 미성아파트 A동 앞,2015-09-24,5
영등포구,221. 여의도초교 앞,2015-09-24,20
영등포구,222. 시범아파트버스정류장 옆,2015-09-24,24
영등포구,223. 진주아파트상가 앞,2015-09-24,23
영등포구,224. 롯데캐슬 앞,2015-09-24,15
영등포구,225. 앙카라공원 앞,2015-09-24,10
영등포구,226. 샛강역 1번출구 앞,2015-09-24,9
그룹명 없음,대여소명 없음,2015-09-25,13
그룹명 없음,대여소명 없음,2015-09-25,1
마포구,101. (구)합정동 주민센터,2015-09-25,5
마포구,102. 망원역 1번출구 앞,2015-09-25,16
마포구,103. 망원역 2번출구 앞,2015-09-25,20
마포구,104. 합정역 1번출구 앞,2015-09-25,15
마포구,105. 합정역 5번출구 앞,2015-09-25,8
마포구,106. 합정역 7번출구 앞,2015-09-25,33
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-25,16
마포구,108. 서교동 사거리,2015-09-25,11
마포구,111. 상수역 2번출구 앞,2015-09-25,13
마포구,112. 극동방송국 앞,2015-09-25,15
마포구,113. 홍대입구역 2번출구 앞,2015-09-25,40
마포구,114. 홍대입구역 8번출구 앞,2015-09-25,12
마포구,118. 광흥창역 2번출구 앞,2015-09-25,21
마포구,119. 서강나루 공원,2015-09-25,17
마포구,120. 신수동 사거리,2015-09-25,6
마포구,121. 마포소방서 앞,2015-09-25,11
마포구,122. 신성기사식당 앞,2015-09-25,14
마포구,124. 서강대 정문 건너편,2015-09-25,23
마포구,125. 서강대 남문 옆,2015-09-25,34
마포구,126. 서강대 후문 옆,2015-09-25,33
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-25,24
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-25,6
마포구,136. 대흥동 주민센터,2015-09-25,5
서대문구,115. 사루비아 빌딩 앞,2015-09-25,11
서대문구,116. 일진아이윌아파트 옆,2015-09-25,12
서대문구,117. 홍은사거리,2015-09-25,0
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-25,18
서대문구,131. 증산2교,2015-09-25,25
서대문구,132. 창천문화공원,2015-09-25,39
서대문구,133. 해담는다리,2015-09-25,8
서대문구,135. 명물길 원형무대 앞,2015-09-25,15
서대문구,137. NH농협 신촌지점 앞,2015-09-25,9
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-25,10
서대문구,139. 연세대 정문 건너편,2015-09-25,3
서대문구,140. 이화여대 후문,2015-09-25,16
서대문구,141. 연대 대운동장 옆,2015-09-25,24
영등포구,200. 국회의원회관,2015-09-25,1
영등포구,201. 진미파라곤 앞,2015-09-25,31
영등포구,202. 국민일보 앞,2015-09-25,12
영등포구,203. 국회의사당역 3번출구 옆,2015-09-25,4
영등포구,204. 국회의사당역 5번출구 옆,2015-09-25,9
영등포구,205. 산업은행 앞,2015-09-25,12
영등포구,206. KBS 앞,2015-09-25,13
영등포구,208. LG 트윈타워 앞,2015-09-25,8
영등포구,209. 유진투자증권빌딩 앞,2015-09-25,20
영등포구,210. IFC몰,2015-09-25,37
영등포구,211. 여의도역 4번출구 옆,2015-09-25,22
영등포구,212. 여의도역 1번출구 옆,2015-09-25,21
영등포구,213. KT앞,2015-09-25,18
영등포구,214. 금융감독원 앞,2015-09-25,2
영등포구,215. 여의도고교 앞,2015-09-25,41
영등포구,216. 삼부아파트1동 앞,2015-09-25,15
영등포구,217. NH농협은행 앞,2015-09-25,8
영등포구,218. 증권거래소 앞,2015-09-25,11
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-25,5
영등포구,220. 미성아파트 A동 앞,2015-09-25,7
영등포구,221. 여의도초교 앞,2015-09-25,23
영등포구,222. 시범아파트버스정류장 옆,2015-09-25,20
영등포구,223. 진주아파트상가 앞,2015-09-25,20
영등포구,224. 롯데캐슬 앞,2015-09-25,27
영등포구,225. 앙카라공원 앞,2015-09-25,22
영등포구,226. 샛강역 1번출구 앞,2015-09-25,11
그룹명 없음,대여소명 없음,2015-09-26,11
그룹명 없음,대여소명 없음,2015-09-26,1
마포구,101. (구)합정동 주민센터,2015-09-26,9
마포구,102. 망원역 1번출구 앞,2015-09-26,21
마포구,103. 망원역 2번출구 앞,2015-09-26,13
마포구,104. 합정역 1번출구 앞,2015-09-26,18
마포구,105. 합정역 5번출구 앞,2015-09-26,6
마포구,106. 합정역 7번출구 앞,2015-09-26,28
마포구,107. 신한은행 서교동금융센터점 앞,2015-09-26,8
마포구,108. 서교동 사거리,2015-09-26,4
마포구,111. 상수역 2번출구 앞,2015-09-26,23
마포구,112. 극동방송국 앞,2015-09-26,17
마포구,113. 홍대입구역 2번출구 앞,2015-09-26,33
마포구,114. 홍대입구역 8번출구 앞,2015-09-26,21
마포구,118. 광흥창역 2번출구 앞,2015-09-26,14
마포구,119. 서강나루 공원,2015-09-26,19
마포구,120. 신수동 사거리,2015-09-26,8
마포구,121. 마포소방서 앞,2015-09-26,7
마포구,122. 신성기사식당 앞,2015-09-26,10
마포구,124. 서강대 정문 건너편,2015-09-26,24
마포구,125. 서강대 남문 옆,2015-09-26,7
마포구,126. 서강대 후문 옆,2015-09-26,33
마포구,129. 신촌역(2호선) 6번출구 옆,2015-09-26,25
마포구,130. 신촌역(2호선) 7번출구 앞,2015-09-26,5
서대문구,115. 사루비아 빌딩 앞,2015-09-26,11
서대문구,116. 일진아이윌아파트 옆,2015-09-26,16
서대문구,117. 홍은사거리,2015-09-26,3
서대문구,128. 신촌역(2호선) 1번출구 옆,2015-09-26,8
서대문구,131. 증산2교,2015-09-26,11
서대문구,132. 창천문화공원,2015-09-26,18
서대문구,133. 해담는다리,2015-09-26,5
서대문구,135. 명물길 원형무대 앞,2015-09-26,7
서대문구,137. NH농협 신촌지점 앞,2015-09-26,2
서대문구,138. 신촌동 제1공영주차장 앞,2015-09-26,8
서대문구,139. 연세대 정문 건너편,2015-09-26,1
서대문구,140. 이화여대 후문,2015-09-26,10
서대문구,141. 연대 대운동장 옆,2015-09-26,6
영등포구,200. 국회의원회관,2015-09-26,2
영등포구,201. 진미파라곤 앞,2015-09-26,17
영등포구,202. 국민일보 앞,2015-09-26,41
영등포구,203. 국회의사당역 3번출구 옆,2015-09-26,7
영등포구,204. 국회의사당역 5번출구 옆,2015-09-26,3
영등포구,205. 산업은행 앞,2015-09-26,12
영등포구,206. KBS 앞,2015-09-26,14
영등포구,209. 유진투자증권빌딩 앞,2015-09-26,27
영등포구,210. IFC몰,2015-09-26,36
영등포구,211. 여의도역 4번출구 옆,2015-09-26,22
영등포구,212. 여의도역 1번출구 옆,2015-09-26,7
영등포구,213. KT앞,2015-09-26,7
영등포구,214. 금융감독원 앞,2015-09-26,1
영등포구,215. 여의도고교 앞,2015-09-26,40
영등포구,216. 삼부아파트1동 앞,2015-09-26,20
영등포구,218. 증권거래소 앞,2015-09-26,0
영등포구,219. 롯데캐슬엠파이어 옆,2015-09-26,6
영등포구,220. 미성아파트 A동 앞,2015-09-26,9
영등포구,221. 여의도초교 앞,2015-09-26,20
영등포구,222. 시범아파트버스정류장 옆,2015-09-26,27
영등포구,223. 진주아파트상가 앞,2015-09-26,14
영등포구,224. 롯데캐슬 앞,2015-09-26,21
영등포구,225. 앙카라공원 앞,2015-09-26,9
영등포구,226. 샛강역 1번출구 앞,2015-09-26,5
그룹명 없음,대여소명 없음,2015-09-27,7
마포구,101. (구)합정동 주민센터,2015-09-27,12
마포구,102. 망원역 1번출구 앞,2015-09-27,14
